model,true_portion,diff_steps,B,b,reps,t_min,t_max,accumulate,epoch,verbose,no_seed,no_warnings,ckpt_dir,vis_dir,save_fig,date,gns_est,g_norm,b_true,runtime,user,host
0010000.pt,0.1,1000,500,50,2,,,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/2_hyperparameters/visuals,,2025-01-28 23:19:47,2.1295177936553955,1.0358115434646606,5000,0:01:31.567261,cimsir,buchit.cip.ifi.lmu.de
0010000.pt,0.1,1000,10000,1000,2,,,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/2_hyperparameters/visuals,,2025-01-28 23:22:54,52.908355712890625,1.0369058847427368,5000,0:08:30.434096,cimsir,buchit.cip.ifi.lmu.de
