model,true_portion,diff_steps,B,b,reps,t_min,t_max,accumulate,epoch,verbose,no_seed,no_warnings,ckpt_dir,vis_dir,save_fig,date,gns_est,g_norm,b_true,runtime,user,host
0020000.pt,0.1,1000,5000,50,2,,,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/2_hyperparameters/visuals,,2025-01-28 23:52:04,3.714134693145752,0.6459733843803406,5000,0:04:37.734532,cimsir,buchit.cip.ifi.lmu.de
0020000.pt,0.1,1000,10000,100,2,,,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/2_hyperparameters/visuals,,2025-01-28 23:56:48,3.8112740516662598,0.6566063165664673,5000,0:07:57.328461,cimsir,buchit.cip.ifi.lmu.de
