model,true_portion,diff_steps,B,b,reps,t_min,t_max,accumulate,epoch,verbose,no_seed,no_warnings,ckpt_dir,vis_dir,save_fig,date,gns_est,g_norm,b_true,runtime,user,host
0010000.pt,0.1,1000,5000,50,2,,,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/2_hyperparameters/visuals,,2025-01-28 22:43:24,1.9408671855926514,1.0459740161895752,5000,0:04:49.501444,cimsir,buchit.cip.ifi.lmu.de
0010000.pt,0.1,1000,10000,100,2,,,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/2_hyperparameters/visuals,,2025-01-28 22:48:18,3.387887477874756,1.0435526371002197,5000,0:08:23.233847,cimsir,buchit.cip.ifi.lmu.de
