model,true_portion,diff_steps,B,b,reps,t_min,t_max,accumulate,epoch,verbose,no_seed,no_warnings,ckpt_dir,vis_dir,save_fig,date,gns_est,g_norm,b_true,runtime,user,host
0020000.pt,0.1,1000,500,50,5,,,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/2_hyperparameters/visuals,,2025-01-29 00:28:37,3.221482753753662,0.6514661908149719,5000,0:01:53.408205,cimsir,buchit.cip.ifi.lmu.de
0020000.pt,0.1,1000,1000,100,5,,,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/2_hyperparameters/visuals,,2025-01-29 04:58:56,8.167122840881348,0.6508505344390869,5000,0:02:30.850705,cimsir,andesit.cip.ifi.lmu.de
