model,true_portion,diff_steps,B,b,reps,t_min,t_max,accumulate,epoch,verbose,no_seed,no_warnings,ckpt_dir,vis_dir,save_fig,date,gns_est,g_norm,b_true,runtime,user,host
0010000.pt,0.1,1000,5000,50,5,,,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/2_hyperparameters/visuals,,2025-01-28 22:56:47,10.578432083129883,1.0254617929458618,5000,0:08:04.679980,cimsir,buchit.cip.ifi.lmu.de
0010000.pt,0.1,1000,10000,100,5,,,True,False,False,False,True,checkpoints,/home/c/cimsir/GenAI_Practical/gns_experiments/2_hyperparameters/visuals,,2025-01-28 23:04:57,10.774823188781738,1.0375462770462036,5000,0:14:44.441204,cimsir,buchit.cip.ifi.lmu.de
